"Free Gift","Free Gift"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Shopping Cart Rules","Shopping Cart Rules"
"Catalog Rules","Catalog Rules"
"Manage Rules","Manage Rules"

"Catalog Rules Manager","Catalog Rules Manager"
"Add New Rule","Add New Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Description","Description"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Websites","Websites"
"Customer Groups","Customer Groups"
"From Date","From Date"
"To Date","To Date"
"Priority","Priority"

"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Gift Items","Gift Items"
"Update gift items using following information","Update gift items using following information"
"Shopping Cart Rules","Shopping Cart Rules"
"Actions","Actions"

"Free Gift with coupon Code","Free Gift with coupon Code"

"Free Gift Codes","Free Gift Codes"
"Enter your free gift code if you have one.","Enter your free gift code if you have one."
"Free gift code "%s" was applied.","Free gift code "%s" was applied."
"Free gift code "%s" is not valid.","Free gift code "%s" is not valid."

"%s was removed automaticaly","%s was removed automaticaly"
"You are not allowed update qty of free item","You are not allowed update qty of free item"
"%s was automaticly added to your shopping cart","Quà tặng %s đã được tự động thêm vào giỏ hàng của bạn."
"The qty of free item must equals or less than %s","The qty of free item must equals or less than %s"
