"Bank","Ngân hàng"
"Cash","Tiền mặt"
"For City","Theo tỉnh/thành phố"
"For Order","Theo đơn hàng"
"For Payment","Theo thanh toán"
"For Type","Theo loại"
"Other Cities","Các thành phố khác"
"Other cities do not include Ho Chi Minh and Ha Noi","""Các thành phố khác"" không bao gồm Tp.HCM và Hà Nội"
"Order count","Số đơn hàng"
"Profit","Lợi nhuận"
"Revenue","Doanh Thu"
"Revenue and total paid does not include shipping","Doanh thu, Tổng thu, Lợi nhuận không bao gồm phí vận chuyển, giảm giá Wannabe Xu"
"Revenue City Report","Báo cáo doanh thu theo tỉnh/thành phố"
"Revenue Ordered Report","Báo cáo doanh thu theo đơn hàng"
"Revenue Payment Report","Báo cáo doanh thu theo phương thức thanh toán"
"Revenue Type Report","Báo cáo doanh thu theo loại sản phẩm"
"Show Actual Values","Hiện tất cả"
"Show City Values","Hiện theo tỉnh/thành phố"
"Show Payment Values","Hiện theo phương thức thanh toán"
"Show Type Values","Hiện theo loại sản phẩm"
"Total Cost","Tổng chi phí"
"Total discount by Wannabe Xu","Giảm giá Wannabe Xu"
"Total Qty","Tổng số lượng"
"Total_paid","Tổng thu"
"Total_revenue_amount","Doanh thu hóa đơn"
"total_canceled_amount","Tổng hủy"
"Total_refunded","Tổng hoàn tiền"
"Total sales discount","Tổng giảm giá"
"Total sales discount actual","Thực tế giảm giá"
"Total sales Shipping","Tổng vận chuyển"
"Total sales shipping actual","Thực tế vận chuyển"
"Tranfer bank","chuyển khoản ngân hàng"
"Total_revenue_amount","Tổng DT hóa đơn"
"total_canceled_amount","Tổng hủy"
"Total Paid","Doanh thu"
"For Product","Theo sản phẩm"
"Revenue Product Report","Báo cáo doanh thu theo sản phẩm"
"Show Group SKU","Nhóm theo sản phẩm"
"Show product Values","Thể hiện theo ngành hàng"
"Order Status","Trạng thái đơn hàng"



